filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF20aalbjpf_20200209_LT_0.ascii,ZTF20aalbjpf,-4.0626695503452,-0.939,13.128,104.603,0.064,0.064,0.997,1.326,4.509,5.74,,normal
ZTF20aamkyyx_20200214_SEDm_0.ascii,ZTF20aamkyyx,-4.76495771499776,-1.195,41.622,118.161,0.02,0.02,0.17,0.406,0.228,0.836,,04gs-like
ZTF20aanvpzo_20200221_NTT_0.ascii,ZTF20aanvpzo,-2.64087833622188,-1.044,35.087,105.831,0.021,0.02,1.492,1.08,3.589,2.658,,04gs-like
ZTF20aapadwx_20200226_NTT_0.ascii,ZTF20aapadwx,-3.87502011558901,-1.053,22.658,92.378,0.021,0.02,1.005,1.014,3.105,3.233,,normal
ZTF20aaqhtcd_20200303_SEDm_0.ascii,ZTF20aaqhtcd,-3.00503564346912,,,,,,,,,,8.065,normal
ZTF20aaqtebg_20200306_SEDm_0.ascii,ZTF20aaqtebg,-2.164705135884,-0.945,12.408,119.911,0.023,0.021,1.211,0.868,4.128,3.439,,normal
ZTF20aasdibr_20200309_SNIFS_0.ascii,ZTF20aasdibr,-3.95100174588935,-1.025,16.301,80.462,0.021,0.02,0.835,1.442,2.826,4.996,,normal
ZTF20aasitqe_20200315_NTT_0.ascii,ZTF20aasitqe,0.840929391224185,-1.18,8.743,65.071,0.064,0.063,1.103,1.315,7.189,8.261,,normal
ZTF20aasiwcu_20200305_SEDm_0.ascii,ZTF20aasiwcu,-3.61203000227468,-0.972,14.396,120.386,0.064,0.065,1.427,1.367,8.985,7.959,,normal
ZTF20aattotq_20200329_SEDm_0.ascii,ZTF20aattotq,-0.18556925173447,-1.017,34.702,116.515,0.02,0.02,0.375,0.759,1.379,1.719,,86G-like
ZTF20aattqbi_20200329_SEDm_0.ascii,ZTF20aattqbi,-4.9182263606596500,,,,,,,,,,6.125,99aa-like
ZTF20aatzwgk_20200411_Other_0.ascii,ZTF20aatzwgk,0.721808652275341,-0.936,35.782,91.313,0.02,0.02,1.817,0.358,3.323,0.7,,91bg-like
ZTF20aauombk_20200415_SEDm_0.ascii,ZTF20aauombk,-2.00866496689147,,,,,,,,,,3.113,99aa-like
ZTF20aauooag_20200416_SEDm_0.ascii,ZTF20aauooag,-0.670027692189977,,,,,,,,,,5.414,SN Ia
ZTF20aaupkac_20200416_SEDm_0.ascii,ZTF20aaupkac,3.41253597237519,-1.222,5.032,65.429,0.02,0.024,0.351,0.203,2.209,4.155,,normal
ZTF20aaurknv_20200417_SEDm_0.ascii,ZTF20aaurknv,-3.29004429564894,,,,,,,,,,9.174,normal
ZTF20aautscv_20200424_SEDm_0.ascii,ZTF20aautscv,1.43092160900715,-1.13,8.113,85.487,0.02,0.026,0.92,1.231,7.409,5.517,,normal
ZTF20aauuiri_20200425_SEDm_0.ascii,ZTF20aauuiri,1.04799300426488,-1.08,8.526,78.579,0.025,0.022,0.976,0.948,3.439,4.155,,normal
ZTF20aauwjmw_20200424_SEDm_0.ascii,ZTF20aauwjmw,-2.0519387833732,-0.913,21.828,91.009,0.021,0.02,1.04,0.312,3.574,0.981,,normal
ZTF20aavhire_20200423_SEDm_0.ascii,ZTF20aavhire,-1.53375641213685,-1.195,3.995,132.489,0.072,0.036,0.585,0.486,13.861,34.496,,normal
ZTF20aavnnkm_20200501_SEDm_0.ascii,ZTF20aavnnkm,-2.23732179104148,,,,,,,,,,7.564,normal
ZTF20aavnnqo_20200503_LT_0.ascii,ZTF20aavnnqo,-1.18873384421444,,,,,,,,,,4.961,SN Ia
ZTF20aavnnzx_20200504_SEDm_0.ascii,ZTF20aavnnzx,-0.56067494266122,-1.002,32.38,102.048,0.02,0.02,0.361,1.95,1.009,5.284,,SN Ia
ZTF20aawcjrx_20200504_SEDm_0.ascii,ZTF20aawcjrx,-3.06622964203552,-1.15,8.523,54.512,0.02,0.022,0.81,0.973,4.757,6.389,,normal
ZTF20aawmlfq_20200504_LT_0.ascii,ZTF20aawmlfq,-4.69872670779837,-0.969,18.031,149.924,0.021,0.022,1.706,0.571,4.54,5.008,,normal
ZTF20aawqywr_20200511_SEDm_0.ascii,ZTF20aawqywr,-0.451591032402372,-1.129,5.262,40.628,0.02,0.02,0.497,0.064,3.349,0.503,,SN Ia
ZTF20aawwcgb_20200511_LT_0.ascii,ZTF20aawwcgb,1.86478374914578,-0.98,36.463,110.533,0.023,0.037,8.374,1.542,25.471,5.994,,SN Ia
ZTF20aaxablt_20200515_SEDm_0.ascii,ZTF20aaxablt,0.961443086621732,,,,,,,,,,11.967,normal
ZTF20aaxagnm_20200516_SEDm_0.ascii,ZTF20aaxagnm,4.59494674910865,-1.18,7.722,95.929,0.021,0.021,0.329,0.421,2.391,3.377,,SN Ia
ZTF20aaxbvkt_20200511_SEDm_0.ascii,ZTF20aaxbvkt,2.49417762305706,,,,,,,,,,12.469,99aa-like
ZTF20aaydgsu_20200510_SEDm_0.ascii,ZTF20aaydgsu,0.580033005563088,-1.046,30.621,125.682,0.025,0.022,1.02,1.084,2.405,2.888,,04gs-like
ZTF20aaymbjk_20200515_SEDm_0.ascii,ZTF20aaymbjk,-0.789657601792246,-1.078,13.1,92.968,0.022,0.022,1.15,0.863,4.38,4.505,,normal
ZTF20aayubpi_20200517_SEDm_0.ascii,ZTF20aayubpi,-2.08141849379885,-1.083,5.417,75.165,0.064,0.063,0.359,0.179,3.219,2.816,,normal
ZTF20aayvubx_20200524_SEDm_0.ascii,ZTF20aayvubx,0.0152183318997745,,,,,,,,,,5.997,normal
ZTF20aaywban_20200514_SEDm_0.ascii,ZTF20aaywban,-2.52552796395905,,,,,,,,,,41.699,91bg-like
ZTF20aazjwgh_20200524_SEDm_0.ascii,ZTF20aazjwgh,-0.748763953297451,,,,,,,,,,13.03,normal
ZTF20aazkxcw_20200524_SEDm_0.ascii,ZTF20aazkxcw,2.96577772499286,-1.016,11.135,84.865,0.02,0.027,2.013,0.492,10.834,4.177,,normal
ZTF20aazoqmh_20200524_SEDm_0.ascii,ZTF20aazoqmh,-2.11820852699587,-0.972,6.19,119.826,0.021,0.023,0.272,0.307,3.401,7.453,,normal
ZTF20abafzxx_20200526_SEDm_0.ascii,ZTF20abafzxx,-2.2331091259834,-1.173,6.302,57.003,0.021,0.02,0.631,0.093,4.117,1.453,,SN Ia
ZTF20abawtpy_20200607_LT_0.ascii,ZTF20abawtpy,3.17852074027897,,,,,,,,,,8.697,SN Ia
ZTF20abbhyxu_20200604_SEDm_0.ascii,ZTF20abbhyxu,-4.23459190214442,-1.068,11.241,90.667,0.021,0.021,0.752,0.616,3.46,3.112,,normal
ZTF20abciflj_20200608_LT_0.ascii,ZTF20abciflj,-4.4852200341178,-1.09,7.547,70.838,0.02,0.02,0.308,0.31,1.663,1.945,,normal
ZTF20abcqpdj_20200614_SEDm_0.ascii,ZTF20abcqpdj,1.7913864932733,,,,,,,,,,6.995,SN Ia
ZTF20abcwuwg_20200613_SEDm_0.ascii,ZTF20abcwuwg,1.45413150286114,,,,,,,,,,15.127,SN Ia
ZTF20abcxnkh_20200608_SEDm_0.ascii,ZTF20abcxnkh,3.38934492127741,,,,,,,,,,11.556,normal
ZTF20abdxffu_20200614_SEDm_0.ascii,ZTF20abdxffu,2.13725734674235,,,,,,,,,,5.562,SN Ia
ZTF20abedyov_20200621_SEDm_0.ascii,ZTF20abedyov,4.02014919252248,-1.033,17.838,85.651,0.02,0.023,0.751,0.436,4.023,1.412,,normal
ZTF20abegate_20200620_LT_0.ascii,ZTF20abegate,-2.77792294601391,-0.849,5.59,142.808,0.02,0.092,0.425,0.677,8.102,9.458,,SN Ia
ZTF20abeldyn_20200615_SEDm_0.ascii,ZTF20abeldyn,-4.42034142195076,-1.044,11.169,91.995,0.063,0.063,0.333,0.188,1.283,1.665,,SN Ia
ZTF20abeywdn_20200628_LT_0.ascii,ZTF20abeywdn,-3.78894521992621,-0.867,4.733,93.296,0.025,0.022,0.605,0.688,11.062,6.188,,normal
ZTF20abgbiet_20200625_SEDm_0.ascii,ZTF20abgbiet,0.0214078666709855,-0.972,26.513,110.372,0.064,0.064,1.947,1.515,8.396,5.367,,normal
ZTF20abgpksj_20200702_SEDm_0.ascii,ZTF20abgpksj,-1.45799209969722,-0.987,24.108,150.527,0.022,0.02,0.376,1.365,1.425,5.297,,normal
ZTF20abgzvff_20200702_SEDm_0.ascii,ZTF20abgzvff,0.730890619032371,-0.91,7.434,75.698,0.064,0.063,1.004,0.343,6.312,1.729,,normal
ZTF20abhvnzc_20200625_SEDm_0.ascii,ZTF20abhvnzc,-3.92845211451081,-0.98,28.981,170.443,0.022,0.025,1.534,1.687,7.926,9.469,,91bg-like
ZTF20abipuee_20200712_LT_0.ascii,ZTF20abipuee,3.68004999628772,-1.179,10.423,91.561,0.063,0.063,0.473,0.308,1.455,1.273,,normal
ZTF20abixkhh_20200707_NOT_0.ascii,ZTF20abixkhh,-2.96465759478742,,,,,,,,,,13.283,normal
ZTF20abjbiqf_20200712_LT_0.ascii,ZTF20abjbiqf,-3.32755788897075,,,,,,,,,,6.956,99aa-like
ZTF20abkcril_20200716_SEDm_0.ascii,ZTF20abkcril,-2.56836155106958,-1.032,11.412,97.807,0.025,0.022,0.651,0.727,3.419,3.597,,normal
ZTF20abkfhzy_20200723_SEDm_0.ascii,ZTF20abkfhzy,-0.0840786613014746,,,,,,,,,,13.753,normal
ZTF20ablnjvp_20200729_SEDm_0.ascii,ZTF20ablnjvp,0.596412668218475,,,,,,,,,,9.727,SN Ia
ZTF20ablxtlp_20200722_SEDm_0.ascii,ZTF20ablxtlp,-4.33298863171941,-1.175,25.894,116.079,0.021,0.02,1.584,0.323,4.859,0.856,,normal
ZTF20abmddts_20200722_Gemini-N_0.ascii,ZTF20abmddts,-2.20283273186537,-0.923,35.656,96.838,0.025,0.022,2.512,1.873,1.926,3.31,,91bg-like
ZTF20abmspyz_20200719_Lick-3m_0.ascii,ZTF20abmspyz,0.470908409160479,-1.167,22.398,121.421,0.022,0.021,1.587,1.071,6.763,4.235,,normal
ZTF20abmxtnh_20200727_SEDm_0.ascii,ZTF20abmxtnh,-0.534497628203695,-1.022,42.235,125.224,0.02,0.02,0.775,1.445,1.919,3.4,,04gs-like
ZTF20abpqenl_20200810_SEDm_0.ascii,ZTF20abpqenl,-0.159177805070888,,,,,,,,,,8.655,normal
ZTF20abpsbyg_20200812_SEDm_0.ascii,ZTF20abpsbyg,1.90709056968388,,,,,,,,,,16.322,normal
ZTF20abptxls_20200812_NOT_0.ascii,ZTF20abptxls,-2.14094896182838,,,,,,,,,,1.7,99aa-like
ZTF20abpuyau_20200815_SEDm_0.ascii,ZTF20abpuyau,-0.017734927944179,,,,,,,,,,11.075,99aa-like
ZTF20abpyxja_20200815_SEDm_0.ascii,ZTF20abpyxja,0.17650327069203,-0.904,12.538,87.898,0.021,0.021,0.486,0.97,2.869,4.584,,normal
ZTF20abqbzuv_20200812_SEDm_0.ascii,ZTF20abqbzuv,-2.16382082833763,-0.99,30.268,116.841,0.02,0.02,0.943,0.282,2.199,0.713,,04gs-like
ZTF20abqfgee_20200814_SEDm_0.ascii,ZTF20abqfgee,-2.54893871589853,-1.023,26.313,116.487,0.064,0.063,1.547,1.166,4.178,2.39,,normal
ZTF20abqmtsh_20200817_LT_0.ascii,ZTF20abqmtsh,-0.558495300253226,,,,,,,,,,6.963,SN Ia
ZTF20abquppg_20200816_LT_0.ascii,ZTF20abquppg,-2.84671865528537,-1.097,27.018,99.103,0.063,0.063,0.681,0.623,1.713,2.017,,normal
ZTF20abvowvw_20200902_SEDm_0.ascii,ZTF20abvowvw,-3.73418466360232,,,,,,,,,,17.241,normal
ZTF20abvxsgk_20200830_SEDm_0.ascii,ZTF20abvxsgk,4.3576305499677,-1.143,24.449,116.395,0.025,0.022,0.424,0.133,1.426,0.458,,normal
ZTF20abvycao_20200829_SEDm_0.ascii,ZTF20abvycao,-0.0706613172801584,-1.133,10.513,83.161,0.022,0.02,0.909,0.275,4.443,1.744,,normal
ZTF20abvykmy_20200829_SEDm_0.ascii,ZTF20abvykmy,-2.0771728243304,,,,,,,,,,6.872,normal
ZTF20abwavab_20200904_SEDm_0.ascii,ZTF20abwavab,-4.71669082367379,,,,,,,,,,8.044,91T-like
ZTF20abwynwj_20200914_SEDm_0.ascii,ZTF20abwynwj,4.73692862620244,,,,,,,,,,9.029,99aa-like
ZTF20abxlham_20200906_SEDm_0.ascii,ZTF20abxlham,-1.918065421739,-1.042,23.506,98.841,0.02,0.03,0.119,2.561,0.431,13.649,,normal
ZTF20abxqtyg_20200914_SEDm_0.ascii,ZTF20abxqtyg,0.984223834515422,-0.906,22.42,103.431,0.02,0.02,0.208,0.075,0.594,0.142,,normal
ZTF20abxwreg_20200907_SEDm_0.ascii,ZTF20abxwreg,-0.968889538894,,,,,,,,,,19.004,SN Ia
ZTF20abxyaqc_20200906_SEDm_0.ascii,ZTF20abxyaqc,-4.72206024037998,-0.849,13.462,124.53,0.032,0.031,1.336,0.797,13.837,11.869,,normal
ZTF20abxyfye_20200914_LT_0.ascii,ZTF20abxyfye,2.77539978101723,,,,,,,,,,11.109,normal
ZTF20abxzrqw_20200915_APO_0.ascii,ZTF20abxzrqw,0.331066864348245,-0.852,18.569,95.774,0.02,0.02,0.527,0.62,2.128,2.505,,normal
ZTF20abygigy_20200914_SEDm_0.ascii,ZTF20abygigy,-0.280876047259925,-0.786,13.706,75.178,0.022,0.02,0.686,0.894,2.661,5.495,,normal
ZTF20abyptpc_20200919_LT_0.ascii,ZTF20abyptpc,-1.93415948730565,-0.914,18.043,121.925,0.021,0.021,0.65,0.687,2.665,3.345,,normal
ZTF20abywpkl_20200916_SEDm_0.ascii,ZTF20abywpkl,-1.0630316708303,,,,,,,,,,8.119,normal
ZTF20abyxcib_20200916_P200_0.ascii,ZTF20abyxcib,-3.33641205357323,-1.094,6.119,88.293,0.024,0.026,0.982,1.114,8.525,9.148,,SN Ia
ZTF20abyzgzj_20200917_SEDm_0.ascii,ZTF20abyzgzj,-3.89252553442207,-1.057,25.706,118.121,0.063,0.064,1.141,1.181,2.812,3.616,,SN Ia
ZTF20abzhwtq_20200916_SEDm_0.ascii,ZTF20abzhwtq,-2.74849891144753,,,,,,,,,,9.909,normal
ZTF20acbakkg_20200928_SEDm_0.ascii,ZTF20acbakkg,1.74219970090373,-0.926,33.435,125.875,0.063,0.063,2.445,1.2,7.834,2.379,,91bg-like
ZTF20accxqqo_20201007_SEDm_0.ascii,ZTF20accxqqo,-0.535760314826025,-1.144,13.302,120.149,0.064,0.065,0.735,0.732,2.631,9.249,,99aa-like
ZTF20acebweq_20200930_SEDm_0.ascii,ZTF20acebweq,-3.44479060206362,,,,,,,,,,7.816,SN Ia
ZTF20acfkkyf_20201010_SEDm_0.ascii,ZTF20acfkkyf,0.78660226770799,-1.092,8.767,107.881,0.065,0.07,1.456,0.855,9.673,13.734,,normal
ZTF20acfnuee_20201009_SEDm_0.ascii,ZTF20acfnuee,1.40040327951196,-1.151,13.243,101.186,0.025,0.022,1.334,0.937,3.255,10.543,,normal
ZTF20acfvsze_20201007_SEDm_0.ascii,ZTF20acfvsze,-3.94765106986366,-1.113,10.181,59.178,0.025,0.022,1.167,0.911,4.007,4.527,,normal
ZTF20acgnrqu_20201013_SEDm_0.ascii,ZTF20acgnrqu,-2.46719594811649,-1.23,3.538,109.952,0.024,0.034,0.332,0.291,5.424,11.694,,SN Ia
ZTF20acgpngg_20201008_SEDm_0.ascii,ZTF20acgpngg,-2.91747227689796,-0.834,16.3,85.616,0.022,0.021,1.668,1.364,4.704,6.162,,normal
ZTF20acgzjje_20201013_SEDm_0.ascii,ZTF20acgzjje,-3.6467104929658300,-1.028,25.982,96.038,0.021,0.02,0.964,1.138,2.996,2.751,,normal
ZTF20achdwmq_20201012_SEDm_0.ascii,ZTF20achdwmq,-4.61285626004896,-1.025,5.66,38.709,0.063,0.063,0.56,0.527,4.317,3.871,,normal
ZTF20achlced_20201021_SEDm_0.ascii,ZTF20achlced,-0.280951133911391,-0.915,6.548,108.917,0.022,0.021,0.472,0.415,4.418,4.06,,normal
ZTF20achvmjr_20201016_SEDm_0.ascii,ZTF20achvmjr,1.37533793920467,-1.029,45.443,134.581,0.021,0.021,5.262,3.525,14.433,8.104,,SN Ia
ZTF20achzugy_20201020_SEDm_0.ascii,ZTF20achzugy,-0.422234468923761,,,,,,,,,,5.397,SN Ia
ZTF20aciievv_20201022_SEDm_0.ascii,ZTF20aciievv,-4.57867810734634,,,,,,,,,,9.905,normal
ZTF20aciigcw_20201016_SEDm_0.ascii,ZTF20aciigcw,-1.73057519577517,-0.896,31.129,74.386,0.02,0.021,2.963,0.622,5.789,0.797,,91bg-like
ZTF20acikuon_20201025_NTT_0.ascii,ZTF20acikuon,-1.12132432386265,-1.049,8.09,66.056,0.02,0.02,0.719,0.935,4.915,7.458,,normal
ZTF20acimjmc_20201015_SEDm_0.ascii,ZTF20acimjmc,-1.93314228873732,-0.987,46.61,148.913,0.02,0.02,4.562,3.965,16.335,13.903,,91bg-like
ZTF20acitojm_20201029_NTT_0.ascii,ZTF20acitojm,0.522593713373961,-1.191,10.489,122.528,0.069,0.069,1.961,1.411,19.957,10.402,,normal
ZTF20aciuakv_20201023_SEDm_0.ascii,ZTF20aciuakv,-3.02646851943881,-0.996,11.174,82.285,0.021,0.02,0.781,0.309,3.42,1.879,,normal
ZTF20acjetyf_20201029_SEDm_0.ascii,ZTF20acjetyf,-2.42155271928751,-1.34,11.294,52.666,0.02,0.02,1.084,0.454,4.255,1.44,,SN Ia
ZTF20aclkuqh_20201030_NTT_0.ascii,ZTF20aclkuqh,-3.92541524536066,-1.152,7.896,110.436,0.062,0.066,2.139,2.374,16.325,16.45,,normal
ZTF20acmddof_20201102_SEDm_0.ascii,ZTF20acmddof,-0.529166885692682,,,,,,,,,,8.45,normal
ZTF20acnznol_20201030_SEDm_0.ascii,ZTF20acnznol,-3.11338499736165,-1.081,57.128,107.7,0.02,0.02,0.627,2.114,0.436,3.574,,91bg-like
ZTF20acordqz_20201112_SEDm_0.ascii,ZTF20acordqz,-2.66988483516871,-0.741,32.942,151.201,0.02,0.02,0.32,0.207,0.771,0.385,,normal
ZTF20acoredl_20201113_SEDm_0.ascii,ZTF20acoredl,0.497089061737921,-0.857,50.987,145.608,0.02,0.022,2.613,2.366,3.251,3.788,,04gs-like
ZTF20acoxtxr_20201114_SEDm_0.ascii,ZTF20acoxtxr,-4.63871104183761,-0.952,16.595,78.08,0.02,0.02,0.682,1.183,2.702,4.121,,normal
ZTF20acoyfpk_20201116_SEDm_0.ascii,ZTF20acoyfpk,-4.89937756526488,-0.964,4.724,103.631,0.024,0.022,0.401,0.344,5.071,3.672,,normal
ZTF20acoyyly_20201118_SEDm_0.ascii,ZTF20acoyyly,2.12380937295845,-1.039,23.221,123.082,0.022,0.03,2.12,0.782,10.257,6.135,,normal
ZTF20acpbbqf_20201110_SEDm_0.ascii,ZTF20acpbbqf,2.12520471216788,-1.033,3.608,49.466,0.021,0.02,0.292,0.143,4.787,2.05,,SN Ia
ZTF20acpgnej_20201121_LT_0.ascii,ZTF20acpgnej,-1.96645068628073,,,,,,,,,,5.892,99aa-like
ZTF20acpjcoe_20201129_Other_0.ascii,ZTF20acpjcoe,2.1973031752096,,,,,,,,,,21.206,normal
ZTF20acpkjsn_20201118_SEDm_0.ascii,ZTF20acpkjsn,-1.04659618729567,-1.13,19.159,98.074,0.025,0.022,1.192,0.724,4.377,2.485,,normal
ZTF20acpmxdg_20201119_SEDm_0.ascii,ZTF20acpmxdg,-2.24391212037171,,,,,,,,,,13.58,normal
ZTF20acqhysq_20201121_NTT_0.ascii,ZTF20acqhysq,-1.40733605904572,-1.044,11.082,105.519,0.064,0.076,0.795,2.307,6.001,20.794,,normal
ZTF20acqksdi_20201202_SEDm_0.ascii,ZTF20acqksdi,3.19828299293141,-1.14,7.609,75.148,0.02,0.021,0.498,0.385,3.182,2.226,,normal
ZTF20acquetr_20201125_LT_0.ascii,ZTF20acquetr,2.47901456055709,-0.905,45.741,134.053,0.021,0.02,2.284,0.397,3.375,0.863,,91bg-like
ZTF20acrdadi_20201126_SEDm_0.ascii,ZTF20acrdadi,-2.56189103868469,,,,,,,,,,25.072,normal
ZTF20acrqeje_20201201_SEDm_0.ascii,ZTF20acrqeje,-1.13127833080134,,,,,,,,,,10.517,normal
ZTF20acrufey_20201201_SEDm_0.ascii,ZTF20acrufey,-1.95214396271599,-0.935,4.704,95.121,0.12,0.12,2.713,2.658,33.075,23.865,,normal
ZTF20acsesce_20201205_SEDm_0.ascii,ZTF20acsesce,2.46239535003614,,,,,,,,,,18.587,normal
ZTF20actfeym_20201204_SEDm_0.ascii,ZTF20actfeym,-0.670217432727754,,,,,,,,,,3.775,SN Ia
ZTF20actfoxr_20201206_SEDm_0.ascii,ZTF20actfoxr,3.17180750756292,-1.142,17.072,52.346,0.063,0.063,1.744,0.87,4.494,3.043,,normal
ZTF20actoakx_20201211_SEDm_0.ascii,ZTF20actoakx,1.00457461733865,,,,,,,,,,3.16,99aa-like
ZTF20actpbck_20201204_SEDm_0.ascii,ZTF20actpbck,-3.86169256522788,,,,,,,,,,26.07,normal
ZTF20actskcf_20201210_SEDm_0.ascii,ZTF20actskcf,1.58736520920249,-0.916,11.068,119.374,0.024,0.021,1.016,1.339,5.024,7.599,,normal
ZTF20acugxbm_20201213_SEDm_0.ascii,ZTF20acugxbm,-2.89341539671411,-0.934,7.052,95.091,0.022,0.027,0.584,0.723,5.725,8.926,,normal
ZTF20acumcrz_20201207_NTT_0.ascii,ZTF20acumcrz,-4.36356044016614,-1.2,3.646,83.029,0.024,0.028,0.406,0.666,5.672,8.774,,SN Ia
ZTF20acurtpj_20201210_SEDm_0.ascii,ZTF20acurtpj,-4.12733401159482,,,,,,,,,,15.611,normal
ZTF20acusneh_20201219_SEDm_0.ascii,ZTF20acusneh,4.10968979772901,,,,,,,,,,19.9,normal
ZTF20acuspji_20201215_SEDm_0.ascii,ZTF20acuspji,3.16013367259251,-1.286,15.813,103.493,0.02,0.023,0.509,0.674,3.063,2.304,,normal
ZTF20acusqsp_20201211_SEDm_0.ascii,ZTF20acusqsp,-3.87176717419521,-0.77,23.623,122.206,0.026,0.024,1.719,2.284,8.631,7.443,,normal
ZTF20acvbrbv_20201211_SEDm_0.ascii,ZTF20acvbrbv,0.964209112785736,-0.976,35.294,142.195,0.024,0.022,2.598,1.863,6.412,3.766,,91bg-like
ZTF20acwfanr_20201219_SEDm_0.ascii,ZTF20acwfanr,-0.556689531604234,,,,,,,,,,25.767,SN Ia
ZTF20acwfcfs_20201218_SEDm_0.ascii,ZTF20acwfcfs,-3.50613324133717,-1.143,5.595,65.391,0.02,0.02,0.264,0.332,3.042,2.695,,normal
ZTF20acwgnxk_20201212_SEDm_0.ascii,ZTF20acwgnxk,-2.85773560873848,-0.951,30.217,97.973,0.064,0.063,1.31,2.14,3.187,8.374,,91bg-like
ZTF20acwmpsj_20201217_NTT_0.ascii,ZTF20acwmpsj,-3.35458357492522,-1.128,17.444,94.067,0.021,0.02,1.251,0.438,4.725,1.599,,normal
ZTF20acwpaov_20201220_SEDm_0.ascii,ZTF20acwpaov,-1.69139578405608,,,,,,,,,,9.012,SN Ia
ZTF20acwqndp_20201221_SEDm_0.ascii,ZTF20acwqndp,0.89399361434245,-1.113,45.809,145.338,0.026,0.025,3.425,3.735,10.851,8.712,,04gs-like
ZTF20acxcxkz_20201224_NTT_0.ascii,ZTF20acxcxkz,2.03513557827851,,,,,,,,,,13.287,normal
ZTF20acxdawc_20201222_NTT_0.ascii,ZTF20acxdawc,1.25366739649009,,,,,,,,,,5.701,SN Ia
ZTF20acxmxth_20201227_SEDm_0.ascii,ZTF20acxmxth,-0.151164901289997,,,,,,,,,,9.16,normal
ZTF20acxncha_20210101_SEDm_0.ascii,ZTF20acxncha,0.393543623873539,-0.98,12.38,82.127,0.025,0.022,0.865,0.544,5.623,2.663,,normal
ZTF20acynlkj_20201226_LCO-FLOYDS_0.ascii,ZTF20acynlkj,-1.3212400791212,-1.012,23.387,116.617,0.022,0.021,1.51,0.757,6.577,3.361,,normal
ZTF20acynllu_20210102_SEDm_0.ascii,ZTF20acynllu,3.96965091807325,-1.112,9.02,46.357,0.064,0.064,0.904,0.555,3.104,5.226,,normal
ZTF20acyrodl_20210105_SEDm_0.ascii,ZTF20acyrodl,4.23773739552427,,,,,,,,,,9.384,SN Ia
ZTF20acywbes_20210102_SEDm_0.ascii,ZTF20acywbes,-2.16086137160105,-0.948,10.44,90.315,0.022,0.021,1.272,0.63,5.763,3.24,,SN Ia
ZTF20acywefl_20210104_LCO-FLOYDS_0.ascii,ZTF20acywefl,2.23369240077187,-0.982,3.278,45.054,0.021,0.02,0.337,0.261,6.335,7.94,,99aa-like
ZTF20acyyavb_20210107_SEDm_0.ascii,ZTF20acyyavb,3.83616408909437,-0.997,7.194,82.108,0.028,0.023,1.009,1.109,4.101,14.648,,normal
ZTF20adadffg_20210103_SEDm_0.ascii,ZTF20adadffg,-4.58212986524564,,,,,,,,,,28.246,normal
ZTF20adadsgm_20210102_SEDm_0.ascii,ZTF20adadsgm,-2.64303309734755,-0.949,21.198,101.103,0.022,0.02,2.234,0.798,4.297,2.367,,normal
ZTF20adadshh_20210105_SNIFS_0.ascii,ZTF20adadshh,-1.88853196602751,-0.997,12.262,90.684,0.028,0.024,1.745,0.899,11.482,4.804,,normal